review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/ejyhyDuAWCxdSqPFPbIgDSwPIXXCzZsNGibdFwPIDDClLiXoCbzfwRi11CAxuMOFKWuqVHWWCABSLzIRvtKWflVF1aTxOHvYSD2fLbi6wsQJ,https://www.rottentomatoes.com/profiles/ejyhyDuAWCxdSqPFPbIgDSwPIXXCzZsNGibdFwPIDDClLiXoCbzfwRi11CAxuMOFKWuqVHWWCABSLzIRvtKWflVF1aTxOHvYSD2fLbi6wsQJ,Beau U.,"Oct 24, 2025","An absolute classic. This movie tells the story of a man in the mid to late 1900’s with a disability. He accomplished incredible things through out his life, including fighting in the military, opening a business and receiving many awards. He becomes famous and finds and fights for the love of his life, Jenny. This movie is the perfect example of not judging a book by its cover, as young Forrest was beaten up and mocked as a kid only to achieve more than his bullies ever did. This is an amazing movie, I definitely would recommend it.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/RkXFAQUlPIY2He6F20tQxhBGIAACNWIJDsBmSdLCnnCx6iQLiywFvjSZZCPLuXLce9uByiGGCvNFPbhLDTZYh2QsdYu9rT2DtByTW4Hk2TW8,https://www.rottentomatoes.com/profiles/RkXFAQUlPIY2He6F20tQxhBGIAACNWIJDsBmSdLCnnCx6iQLiywFvjSZZCPLuXLce9uByiGGCvNFPbhLDTZYh2QsdYu9rT2DtByTW4Hk2TW8,Juan D,"Oct 12, 2025",This movie is one of the best simply incredible,,,
https://www.rottentomatoes.com/profiles/r8ghpvuAOhG4s1QtqpHVmSGZfZZCrDCM6sRMSVXHGGCZQiVqFA9i9pHmmCmLIXBIgGSbGCggC4gHO6TRwHDKtmdhGLFrwiQmIOvuDQsWjTyv,https://www.rottentomatoes.com/profiles/r8ghpvuAOhG4s1QtqpHVmSGZfZZCrDCM6sRMSVXHGGCZQiVqFA9i9pHmmCmLIXBIgGSbGCggC4gHO6TRwHDKtmdhGLFrwiQmIOvuDQsWjTyv,Felix H,"Oct 4, 2025",good acting and sometimes funny but its got a weird plot and it certainly didn't deserve an Oscar. Over all not bad but not the best.,,,
https://www.rottentomatoes.com/profiles/9kltonFMJTMlUwvhewcGoipwF88CJxTqPsOzhy4iVVC2KiDzuAGtvqFPPCZxIgNfKJcOXFXXCaAFgeHpRu8jsYmfOqhJXijeFGoSNVIbjcY1,https://www.rottentomatoes.com/profiles/9kltonFMJTMlUwvhewcGoipwF88CJxTqPsOzhy4iVVC2KiDzuAGtvqFPPCZxIgNfKJcOXFXXCaAFgeHpRu8jsYmfOqhJXijeFGoSNVIbjcY1,M. Hashim Z,"Oct 1, 2025","This film was a major part of my childhood, its amazing how they tell history through the film. The best of Tom Hanks",,,
https://www.rottentomatoes.com/profiles/GPgF0zCKvie2T8rf2nuMXFwmteeCQKfLef2OhLeuRRCzRi18HoAFvzullCxXueMiNXFgGcYYCDQSNPcgBHvjum1T9WHx2u2mHJVHBRsVYHYO,https://www.rottentomatoes.com/profiles/GPgF0zCKvie2T8rf2nuMXFwmteeCQKfLef2OhLeuRRCzRi18HoAFvzullCxXueMiNXFgGcYYCDQSNPcgBHvjum1T9WHx2u2mHJVHBRsVYHYO,Conrad C,"Sep 22, 2025",Tom Hanks' iconic performance as Forrest helps us overlook the sometimes preposterous plot and to some degree his infatuation with the undeserving Jenny.,,,
https://www.rottentomatoes.com/profiles/YPdskOF9ji20HgzTPWFydtABF66CRLfxrFJMh9RSKKCqviLYSK2H8ouvvCdyFrNFMWuJvhzzCdMfmyiVdIkJfrvIxYF2OTGyuArsz2I4jf14,https://www.rottentomatoes.com/profiles/YPdskOF9ji20HgzTPWFydtABF66CRLfxrFJMh9RSKKCqviLYSK2H8ouvvCdyFrNFMWuJvhzzCdMfmyiVdIkJfrvIxYF2OTGyuArsz2I4jf14,Immanuel M,"Sep 21, 2025",emotional and great. must see it!,,,
https://www.rottentomatoes.com/profiles/0NpsOzUzyFZmFvZcGQs61u4KSeeCavFkmSzYTG2FyyCk4izPSoxSjyi44CK1F1eIwPFD2svvCJYFkNT46sZvt0BsjWfwgSz6i46FwMFoQtgL,https://www.rottentomatoes.com/profiles/0NpsOzUzyFZmFvZcGQs61u4KSeeCavFkmSzYTG2FyyCk4izPSoxSjyi44CK1F1eIwPFD2svvCJYFkNT46sZvt0BsjWfwgSz6i46FwMFoQtgL,Davot I,"Sep 18, 2025","Remek djelo o sudbini i slobodi, ljubavi i prijateljstvu. Humor proizlazi iz originalnog kontrasta ljudske gluposti i životnog uspijeha. Srce nam dira bezuvjetno ljubav i iskreno prijateljstvo. Metafora ljudi koji lepršaju kao pera na povjetarca je genijalna.",,,
https://www.rottentomatoes.com/profiles/dQbTeXHlWILDszgFDzIklhV1UKKCmju1QujGfQLIeeC8yiAxHN0FoNhzzCOzF0eTNJhG0fooCOmtQrHk6ud9HNdFY0Iy0ulNIqZHobt2jSwp,https://www.rottentomatoes.com/profiles/dQbTeXHlWILDszgFDzIklhV1UKKCmju1QujGfQLIeeC8yiAxHN0FoNhzzCOzF0eTNJhG0fooCOmtQrHk6ud9HNdFY0Iy0ulNIqZHobt2jSwp,Marce S,"Sep 16, 2025",A beautiful movie that can make you laugh out loud or cry out loud,,,
https://www.rottentomatoes.com/profiles/NX8hWjikqIm6izmFZwsdAFQPIbbCArHd6uv6iWDuRRCv9izeT8aSAPHGGCRdu4mTrQtjNh99Cj8CryI8Dhk9SvYFKDSwRCdQu6bSaDC2WtGa,https://www.rottentomatoes.com/profiles/NX8hWjikqIm6izmFZwsdAFQPIbbCArHd6uv6iWDuRRCv9izeT8aSAPHGGCRdu4mTrQtjNh99Cj8CryI8Dhk9SvYFKDSwRCdQu6bSaDC2WtGa,Liam Y,"Sep 15, 2025",This movie was and still is an ABSOLUTE MASTER PEICE I love Tom Hanks and I loved this movie very entertaining,,,
,,,"Sep 14, 2025",It's the greatest movie ever made!,,Jonathan P,
