review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/2x0cWMfZGHJQsDVFeVHgKI1rHxxCbwS60iv9IpWhAACnqi2wsrBca6F44CGvFb2TYPcMeiNNCPbfpXf9buk1IbRulDFB0FPMI9LIZKudbS06,https://www.rottentomatoes.com/profiles/2x0cWMfZGHJQsDVFeVHgKI1rHxxCbwS60iv9IpWhAACnqi2wsrBca6F44CGvFb2TYPcMeiNNCPbfpXf9buk1IbRulDFB0FPMI9LIZKudbS06,Terry S.,"Oct 21, 2025",Movie is a 10 out of 10! ARE YOU NOT ENTERTAINED!!!!!!!,,
https://www.rottentomatoes.com/profiles/1KXueAuz0CZMcxbi6qFdRs4ZIQQCrjf9GCJ2I4liNNC2xiBOiPefWaSvvCkduJWfj6sndtzzCb9h9vcnjfBkTyZIG1ubkFRQfRyt2NIABujn,https://www.rottentomatoes.com/profiles/1KXueAuz0CZMcxbi6qFdRs4ZIQQCrjf9GCJ2I4liNNC2xiBOiPefWaSvvCkduJWfj6sndtzzCb9h9vcnjfBkTyZIG1ubkFRQfRyt2NIABujn,Ethan K.,"Oct 15, 2025",I remember seeing this on the airplane and absolutely loved the action scenes. Awesome movie!,,
https://www.rottentomatoes.com/profiles/oOnsD8S4Dt9wIzxcaXIaDiyDc66C0MhlvhzWtVmCllCZOipGu4BtGlImmCXKuqehv4FyMINNC9AS24HwJi2wIVki0kSpAi1eCorTgxF9zTZP,https://www.rottentomatoes.com/profiles/oOnsD8S4Dt9wIzxcaXIaDiyDc66C0MhlvhzWtVmCllCZOipGu4BtGlImmCXKuqehv4FyMINNC9AS24HwJi2wIVki0kSpAi1eCorTgxF9zTZP,Craig M,"Oct 5, 2025",Best movie of all time!,,
https://www.rottentomatoes.com/profiles/80xHM1SwLuNRhMGs6WTrdId0heeCMqT9ZSqwFrOIGGCokinyFYKiMXFllCqLugpun0Tk4tAAC9MuaXSvkSmJhVxuNbuNDHPQI2JIj1hWZfez,https://www.rottentomatoes.com/profiles/80xHM1SwLuNRhMGs6WTrdId0heeCMqT9ZSqwFrOIGGCokinyFYKiMXFllCqLugpun0Tk4tAAC9MuaXSvkSmJhVxuNbuNDHPQI2JIj1hWZfez,Real O,"Oct 1, 2025",This will always be a 5 star movie. Russell Crowe's best.,,
https://www.rottentomatoes.com/profiles/M4LUo0IzBC1zsPOurOTO6CjOHXXCNxsGaIJbTA1SLLCVJiDaC6BhvWcQQCGWF2NCjGSRMsZZCVZCAQi8JFwWsa8sBdH1PsJyCmpuzxFjJHOj,https://www.rottentomatoes.com/profiles/M4LUo0IzBC1zsPOurOTO6CjOHXXCNxsGaIJbTA1SLLCVJiDaC6BhvWcQQCGWF2NCjGSRMsZZCVZCAQi8JFwWsa8sBdH1PsJyCmpuzxFjJHOj,Michari N.,"Sep 25, 2025",Crowe and Phoenix team up to make this masterpiece of a film from director Ridley Scott.,,
https://www.rottentomatoes.com/profiles/dQAieLTlqt0PcWgiDmsLpHXaTKKCvzsdlIjKuQ2ueeC8yiAgCNqfoNhzzCO0u0kSNzIGbsooCO2CQ9ikYhdbuz8IowH1oTZRuRwCOYSrKte8,https://www.rottentomatoes.com/profiles/dQAieLTlqt0PcWgiDmsLpHXaTKKCvzsdlIjKuQ2ueeC8yiAgCNqfoNhzzCO0u0kSNzIGbsooCO2CQ9ikYhdbuz8IowH1oTZRuRwCOYSrKte8,Jack L,"Sep 20, 2025","This movie is spectacular and deserves more. I wish that Maximus hasn't died because he was an excellent character and could've been great in the second movie, but other than that it has a good story with good characters and an great villain. This movie is definitely one of the best movies out there.",,
https://www.rottentomatoes.com/profiles/M4LUo8FKys1zsD8srwhbNIx8IXXCNxsGOfJlSAdiLLCVJiDmt6BhvWcQQCMjt6mujGSBGIZZCV8cArS8JFlGFzjFVdFZPulVIW4Iz8uj0SOX,https://www.rottentomatoes.com/profiles/M4LUo8FKys1zsD8srwhbNIx8IXXCNxsGOfJlSAdiLLCVJiDmt6BhvWcQQCMjt6mujGSBGIZZCV8cArS8JFlGFzjFVdFZPulVIW4Iz8uj0SOX,Juju S,"Sep 16, 2025","Je dois reconnaître que c’est un classique bien réalisé, avec une histoire poignante. Je ne suis cependant pas fan de l’univers des gladiateurs et de cette période historique qui est très sombre, j’ai donc mes réserves à ce niveau-là, bien le scénario apporte une certaine douceur.",,
https://www.rottentomatoes.com/profiles/JBRiqmfv6I49fVPiKMHyounbtbbCeqI21SDkHApHaaCwNiJjugkHJLHmmCWgFojSQRsnbh66CekIBrfm2Sa0CrVsQJC4gU9psrZtgvFb4Tgd,https://www.rottentomatoes.com/profiles/JBRiqmfv6I49fVPiKMHyounbtbbCeqI21SDkHApHaaCwNiJjugkHJLHmmCWgFojSQRsnbh66CekIBrfm2Sa0CrVsQJC4gU9psrZtgvFb4Tgd,David C.,"Sep 9, 2025","Gladiator is a timeless epic that balances grandeur with raw emotion. Ridley Scott delivers a sweeping vision of ancient Rome, crafting battles that are both massive in scale and deeply personal. Russell Crowe gives one of his most iconic performances as Maximus, a tragic hero whose journey of vengeance and honor resonates just as powerfully today. Joaquin Phoenix’s Commodus is equally unforgettable, bringing menace and fragility to the role of a desperate emperor. Hans Zimmer’s haunting score lingers long after the credits, amplifying both the spectacle and the sorrow. While the pacing occasionally slows, the film’s emotional weight and visual mastery more than make up for it. For some, it’s a near-perfect film, for others, an untouchable masterpiece. Either way, Gladiator stands as one of cinema’s greatest achievements a film that redefined the modern epic and continues to captivate audiences decades later.",SHOW MORE,
https://www.rottentomatoes.com/profiles/qAyiOpfGwilwiNAFarF9xskPfzzCZwF6PfpBIw1fmmCkniYQFZAHRwIXXCpOI21I6eIqDcPPCo6taQsdPCXLFG8FZpHqPSwnfX9SVotaGulj,https://www.rottentomatoes.com/profiles/qAyiOpfGwilwiNAFarF9xskPfzzCZwF6PfpBIw1fmmCkniYQFZAHRwIXXCpOI21I6eIqDcPPCo6taQsdPCXLFG8FZpHqPSwnfX9SVotaGulj,Bartosh P,"Sep 8, 2025",Easily among the greatest films ever,,
https://www.rottentomatoes.com/profiles/QD6FWmTmkH0xUpKT60FJGHa0t66Cb2HmRuymFoYTqqCRLiPXsQXf4GTppCdkIn8c1zSoZhDDCpAcx2F2ZIx4Srxu8PFzRu4jumGfvMTajFMd,https://www.rottentomatoes.com/profiles/QD6FWmTmkH0xUpKT60FJGHa0t66Cb2HmRuymFoYTqqCRLiPXsQXf4GTppCdkIn8c1zSoZhDDCpAcx2F2ZIx4Srxu8PFzRu4jumGfvMTajFMd,Mike M.,"Aug 19, 2025",One of the greatest movies ever made.,,
