review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/x9juVWHOKSNmsJ9HyeTwVhWMIjjCzDSnkf0mSJBHmmCdxi2riNBilOTjjCqpIZviw2fM2uNNCBkiRQfxGIZ1u4PIxWFpWI9KuZatDvIMwuqv,https://www.rottentomatoes.com/profiles/x9juVWHOKSNmsJ9HyeTwVhWMIjjCzDSnkf0mSJBHmmCdxi2riNBilOTjjCqpIZviw2fM2uNNCBkiRQfxGIZ1u4PIxWFpWI9KuZatDvIMwuqv,Atticus D,"Oct 13, 2025","This is Pixar at their best, it not only is brilliantly animated and has great messages, it captivates audiences of all ages. It also is very emotional and makes me cry every time with the opening scene. This is my favourite Pixar movie. Oh yeah and the sequel is also great.",,,
https://www.rottentomatoes.com/profiles/M4LUo8FKys1zsD8srwhbNIx8IXXCNxsGOfJlSAdiLLCVJiDmt6BhvWcQQCMjt6mujGSBGIZZCV8cArS8JFlGFzjFVdFZPulVIW4Iz8uj0SOX,https://www.rottentomatoes.com/profiles/M4LUo8FKys1zsD8srwhbNIx8IXXCNxsGOfJlSAdiLLCVJiDmt6BhvWcQQCMjt6mujGSBGIZZCV8cArS8JFlGFzjFVdFZPulVIW4Iz8uj0SOX,Juju S,"Oct 9, 2025","Incroyable ! LE meilleur Pixar à ce jour. Félicitations aux équipes ayant travailler sur ce chef-d’oeuvre. L’idée est magnifiquement bien réalisée, la narration est fluide avec son lot d’action, les représentations sont très intelligentes. Tout est si bien pensé, le quartier cérébral, l'entreprise des rêves, la gestion des souvenirs, le système des îles de personnalité... bref les représentations permettent de mettre joliment en image ce qui peut se passer dans nos têtes. Le film met en scène comment les émotions « collaborent » entre elles pour créer notre personnalité, et réagir aux évènements que nous vivons. J’adore le personnage de Tristesse qui nous rappelle que sans elle, il n’y a pas de Joie.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/x9DSk6FO4f2QsrXfbdFw9IWRhjjCPniVQURMSJ1immCdxiazCNxSl8HjjC82FrWux0CM2uNNCBKT6lSgYIZ1u4khxMIzJu2Yt1QIDRFMPfzA,https://www.rottentomatoes.com/profiles/x9DSk6FO4f2QsrXfbdFw9IWRhjjCPniVQURMSJ1immCdxiazCNxSl8HjjC82FrWux0CM2uNNCBKT6lSgYIZ1u4khxMIzJu2Yt1QIDRFMPfzA,CaptainBoulder T,"Sep 12, 2025",Fun and lighthearted movie,,,
https://www.rottentomatoes.com/profiles/WYeT8bSD9uGvFLMcWaf8JhRDsGGCaQSwRFPgFZgibbCexia9fJVTmaIeeC64upXfmoCpPT11CGvCyWFVpFljtk0cJmtbVHyviVjSOkHl9Iom,https://www.rottentomatoes.com/profiles/WYeT8bSD9uGvFLMcWaf8JhRDsGGCaQSwRFPgFZgibbCexia9fJVTmaIeeC64upXfmoCpPT11CGvCyWFVpFljtk0cJmtbVHyviVjSOkHl9Iom,I Am F,"Sep 10, 2025",Just not for me. The story is fine. I almost cried at the end but the story is so formulaic.,,,
https://www.rottentomatoes.com/profiles/RkwIJQIlvhvGInZH4DTQRIBWhAACNQTlvIBzIdYInnCx6ioYcy4tpwtZZCPKFdKIexhlwcGGCvofPaILjHpXtYJtdrS9ZsZDTBDsODc92Had,https://www.rottentomatoes.com/profiles/RkwIJQIlvhvGInZH4DTQRIBWhAACNQTlvIBzIdYInnCx6ioYcy4tpwtZZCPKFdKIexhlwcGGCvofPaILjHpXtYJtdrS9ZsZDTBDsODc92Had,Francesco P,"Aug 29, 2025",Il miglior film della pixar,,,
https://www.rottentomatoes.com/profiles/OydsB0Hg6hrpswvhlqIz4FkAFkkCWntr9CboI0Yi22CNnizxS98TP0HKKCnouGZTeBiRAuGGCkqinyFkPflbIoYcoPuKkT0QcmnFmpcjXFbY,https://www.rottentomatoes.com/profiles/OydsB0Hg6hrpswvhlqIz4FkAFkkCWntr9CboI0Yi22CNnizxS98TP0HKKCnouGZTeBiRAuGGCkqinyFkPflbIoYcoPuKkT0QcmnFmpcjXFbY,Abraham S,"Aug 26, 2025","Movie is so underated, emotional, there is nothing to hate about inside out. Stop saying it e 2md.is better than this. This movie is perfect.",,,
https://www.rottentomatoes.com/profiles/ZZliDqFgJCmQILQsRrTXlf0KfDDC6BsPzT9aI8LURRCKJiWRixzuzMHGGClpIXPTmoTJXTeeCNbua4hJASMxTgKtg1sDWCNoSMaH8xSlaTeX,https://www.rottentomatoes.com/profiles/ZZliDqFgJCmQILQsRrTXlf0KfDDC6BsPzT9aI8LURRCKJiWRixzuzMHGGClpIXPTmoTJXTeeCNbua4hJASMxTgKtg1sDWCNoSMaH8xSlaTeX,Sebastian B,"Aug 17, 2025","I really like this movie! I love the portrayal of the emotions, I love the animation, and it can also help people understand and manage their emotions! But I do feel like they oversimplified depression in this movie, and I do wish they did also have a sixth emotion, “Surprise ”, to show Paul Elkman’s six emotions he talks about. But still a really good movie!",,,
https://www.rottentomatoes.com/profiles/gyOuO6sZXIW1iODC8eiN9uGeiDDCemHzwFxeTpVFMMCGPi0piKvHd1IwwCnvuJ4CnDILkSllCo6IVwcemcAOfJNs1zfORFrKtbefrjHnGSBn,https://www.rottentomatoes.com/profiles/gyOuO6sZXIW1iODC8eiN9uGeiDDCemHzwFxeTpVFMMCGPi0piKvHd1IwwCnvuJ4CnDILkSllCo6IVwcemcAOfJNs1zfORFrKtbefrjHnGSBn,Elvis D,"Aug 15, 2025","Se dice que el cerebro humano es una máquina y siendo así el caso, toda máquina siempre tiene a alguien o algo que la controla o la guía. Muchas veces pensamos que es nuestra capacidad de razonar lo que permite controlar nuestra voluntad, pero la capacidad de razonar es solo una herramienta que rara vez usamos y se vincula más con las ideas. Lo que realmente llega a controlar nuestra voluntad no siempre es la razón o nuestra consciencia, sino las emociones que suelen ser un estímulo vinculado a nuestro cerebro. Las emociones son un medio que detona muchas cosas que yacen en nuestro cerebro, como el instinto, la razón o la consciencia. Esto a veces da lugar a la ilusión de que tenemos consciencia de lo que hacemos y que tenemos la capacidad de decidir por nosotros mismos. Pero así como los animales siempre se guían por el instinto, con los humanos pasa lo mismo y son las emociones las que nos hacen actuar de forma consciente o inconsciente. Es todo un tema debido a que las emociones pueden hacernos reflexionar sobre nuestras acciones o nublar nuestra capacidad de pensar con lógica. Lo cierto es que las emociones son un arma de doble filo y estas se nutren de experiencias o estímulos externos para ir moldeando lo que sería la personalidad de cada individuo. Inside Out es una película asombrosa que retrata eso a la perfección y es un ejemplo muy claro sobre la psicología infantil. Aunque el número de emociones que yacen en la mente humana son muchas, la película solo utiliza las que son más relevantes. Las emociones escogidas se ven representadas en Joy, Sadness, Fear, Disgust y Anger. Son emociones que tienen bastante peso en la mente de un niño y son la elección ideal para explorar la mente de Riley. Joy es la emoción con más importancia debido a la alegre infancia que Riley ha tenido. Esta niña fue criada con amor y cariño en el ambiente más feliz y sano que los niños más afortunados podrían tener. Esa agradable experiencia es lo que forja las islas que definen la personalidad establecida de Riley y Joy tiene un liderazgo estable debido a que ella se vuelve parte fundamental de la personalidad de Riley. Las cosas se salen de control cuando la familia se muda y Riley trata de adaptarse a un entorno que desconoce. Aquí vemos como sus emociones comienzan a entrar en conflicto, principalmente Joy y Sadness. Joy hace un esfuerzo para mantener a Riley estable debido a que es una emoción muy enfocada al optimismo. Trata de mantener a Sadness a distancia para evitar que afecte de forma negativa a Riley. Pero Joy va entendiendo después que la tristeza es una emoción inevitable porque cuando sentimos un dolor emocional, no se puede evitar los deseos de llorar. Cuando Sadness toca los recuerdos alegres de Riley y se tornan azul, es un claro significado de como nuestros recuerdos más felices pueden hacernos llorar por la nostalgia que provocan. Joy y Sadness son como las dos caras de la misma moneda y es que no puede haber alegría sin tristeza o viceversa. Este conflicto entre ambas hacen que queden de lado al quedar fuera del centro de comando y sin Joy estando presente, Riley debe lidiar con las demás emociones. Fear, Anger y Disgust no pueden replicar la alegría que Joy transmitía y ahí se complica todo. Aquí vemos muy claramente lo que un niño siente cuando es alejado de su hogar al que tanto estaba aferrado. El miedo, la ira y el disgusto son las emociones que más se manifiestan y por eso estas son las que terminan al mando de la mente de Riley. Al no tener una pizca de alegría presente que la ayude a lidiar con su nuevo entorno, Riley se va sucumbiendo más a la decepción. Literalmente su mundo se viene abajo y eso provoca que las islas que definen su personalidad se vayan derrumbando. La película hace una fiel representación del derrumbe mental que puede sufrir un niño tras irse del hogar donde fue feliz. La película tiene muchos elementos cargados de significados psicológicos que la hacen bastante profunda. Uno de esos elementos son los recuerdos como grabaciones que quedan archivadas en nuestro cerebro y que también contribuyen a la construcción de la personalidad. También hay elementos como los sueños, la imaginación o los miedos profundos que también juegan un papel en la psicología. Más allá de ser una película infantil con momentos de comedia, tiene un ingenioso concepto que sirve para entender más a fondo la psicología de un niño que pasa por un momento de infelicidad. Lo que hace al final es dar a entender que la tristeza no es algo que se pueda evadir o remediar al instante. Las acciones de Joy son iguales a las de una madre o una amiga que trata de animar a alguien que está triste. La solución no es intentar hacer reír al niño triste, sino comprenderlo y consolarlo. Joy comienza a darse cuenta de eso cuando Sadness consola a Bing Bong. Entiende que la tristeza es parte de la mente de Riley y no puede dejarse de lado así como si nada. La tristeza puede ser algo doloroso de sentir, pero es algo que todos sentimos en algún momento. Eso es lo que activa esa sensibilidad que nos define como seres sintientes. No sentir tristeza no es del todo posible porque siempre hay aunque sea una pequeña pizca de ella en nuestro interior. No sentir tristeza significaría no tener ninguna otra emoción y eso nos haría seres vacíos. Tanto las emociones positivas como negativas son parte de la programación de nuestro cerebro y sin ellas, solo quedaría la lógica que actúa de una manera más fría y neutral. Al final, el comportamiento humano no es tan complejo una vez entendiendo la maquinaria del cerebro, es solo que actúa diferente según cada individuo y por eso las posibilidades son variadas. Pero Inside Out toma algo básico que requiere de bastante explicación y lo muestra de una manera bastante fácil de entender. Eso hace que Inside Out sea una de las mejores películas que abordan el terreno psicológico. Su mundo caricaturesco de la mente de Riley es una muy buena representación de la mente de un niño y la animación jamás decepciona al momento de crear una experiencia visual asombrosa. Pixar siguió manteniendo intacto su capacidad de crear una obra de arte animada con una historia profunda. Inside Out es otro logro que está a la altura de muchas de las grandes películas que Pixar ha producido. Es recomendable tanto como película para toda la familia como un ejercicio de psicología infantil. Mi calificación final para esta película es un 10/10.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/qAXSO9hpyilosRMFz1h2WCeRCzzC9jT6RiMRSwbSmmCkniYeSZwhRlSXXCAYFaxfoPTaVsPPC1wsa1IwpsXbuGYu6OuqBFwOuX0uVOuO2FlO,https://www.rottentomatoes.com/profiles/qAXSO9hpyilosRMFz1h2WCeRCzzC9jT6RiMRSwbSmmCkniYeSZwhRlSXXCAYFaxfoPTaVsPPC1wsa1IwpsXbuGYu6OuqBFwOuX0uVOuO2FlO,Leon M,"Aug 2, 2025",This movie is absolutely great !,,,
https://www.rottentomatoes.com/profiles/QDrf6pHXWSkQcexFvahJKSa1I66Cbqu6nuQJU4vsqqCRLiPoHd9FKnSppC84ungF12HeKcDDCprux2F2ZInWIXgTQWFN6fpdumGfvMTaMiM2,https://www.rottentomatoes.com/profiles/QDrf6pHXWSkQcexFvahJKSa1I66Cbqu6nuQJU4vsqqCRLiPoHd9FKnSppC84ungF12HeKcDDCprux2F2ZInWIXgTQWFN6fpdumGfvMTaMiM2,BlueTop World b,"Jul 27, 2025",I’m crying rn ahhhhhhh,,,
https://www.rottentomatoes.com/profiles/QDYI6ntmPfkwFeKIvXIXvsa0t66Cbqu6kIQMH4bHqqCRLiPXsQzsK1ippCdXu0gI1ouoZhDDCpJtArsbgtnDtXjS8yhNBsplCmJhOeCaMiXR,https://www.rottentomatoes.com/profiles/QDYI6ntmPfkwFeKIvXIXvsa0t66Cbqu6kIQMH4bHqqCRLiPXsQzsK1ippCdXu0gI1ouoZhDDCpJtArsbgtnDtXjS8yhNBsplCmJhOeCaMiXR,Rohaan P,"Jul 19, 2025",I enjoyed lots of moments in the movie and one scene in the film made me cry when I was watching it in the cinema.,,,
https://www.rottentomatoes.com/profiles/1K2hevfxpspMTxPF6NT0ZU4NiQQC2MugvHJ2I46uNNC2xiBlSPDFWqFvvCMBuaRIj6sn6uzzCGXUzAInzHBnHGWFOrfp1cRwhxwI2DfAJIjb,https://www.rottentomatoes.com/profiles/1K2hevfxpspMTxPF6NT0ZU4NiQQC2MugvHJ2I46uNNC2xiBlSPDFWqFvvCMBuaRIj6sn6uzzCGXUzAInzHBnHGWFOrfp1cRwhxwI2DfAJIjb,María Paula M,"Jul 15, 2025","The movie is very entertaining. It shows the life of each teenager, their ideas, problems, and what they live every day. The emotions help to show how each thought works and how it becomes a feeling, new or old.",,,
https://www.rottentomatoes.com/profiles/0x6uOWHzrCZmFnafpjS6wH4lIeeCavFkzFOKfGQIyyCk4izaiPaCjyi44CK1F1wTZgfR4tvvCv1ckzs46sNos1xHDpULocz6idnHw0f1AhRL,https://www.rottentomatoes.com/profiles/0x6uOWHzrCZmFnafpjS6wH4lIeeCavFkzFOKfGQIyyCk4izaiPaCjyi44CK1F1wTZgfR4tvvCv1ckzs46sNos1xHDpULocz6idnHw0f1AhRL,Daniel L,"Jul 15, 2025","What I liked most intensely was how they show that all emotions are important, even sadness. It's a movie that makes you think and also moves a lot. I found it very creative and different from other movies. In addition, I really liked the design of the characters and how they represent what happens in a person's mind. It's interesting to see how emotions work as a team, and how they affect our decisions and memories Daniel Lamprea",SHOW MORE,,
