review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified
https://www.rottentomatoes.com/profiles/XPeCnvFALuBYIv8FeYS8DTo0IRRCpoi6qHBwseQI11CPYiYDcOysykCooCJZubXF4QulKIOOCAxIzQIl4spkT29SkpFkATmjuX0FO2Sz2slR,https://www.rottentomatoes.com/profiles/XPeCnvFALuBYIv8FeYS8DTo0IRRCpoi6qHBwseQI11CPYiYDcOysykCooCJZubXF4QulKIOOCAxIzQIl4spkT29SkpFkATmjuX0FO2Sz2slR,Laura F,"Oct 23, 2025","I’m watching this today (23/10/25) for the first time, it’s never really appealed to me before! Won’t watch again, I’m glad I finally watched and realised FOMO isn’t a good thing!",,,
https://www.rottentomatoes.com/profiles/GPGi8etKRIenFpNIwdHrQcwVIeeCXyHLXI2OhjrFRRCzRiYzFoAFwxsllCxgFrAtjPiZliYYCDMhNqukJcvxsj4c9bFQ2tZRsJghBJTVJsYW,https://www.rottentomatoes.com/profiles/GPGi8etKRIenFpNIwdHrQcwVIeeCXyHLXI2OhjrFRRCzRiYzFoAFwxsllCxgFrAtjPiZliYYCDMhNqukJcvxsj4c9bFQ2tZRsJghBJTVJsYW,Enrico S.,"Oct 21, 2025","Perfect movie, acting, story, music, effect. All top.",,,
https://www.rottentomatoes.com/profiles/DQJcB2hn2T2NsBlFzVSvdie2tLLCwVFMLsRjH0lfQQC8Oip1tgyu4ju00CwdIQmfrNHRbSBBC16sK1u1QSqniBGiwZfgki9VuzJIXlS6DuL8,https://www.rottentomatoes.com/profiles/DQJcB2hn2T2NsBlFzVSvdie2tLLCwVFMLsRjH0lfQQC8Oip1tgyu4ju00CwdIQmfrNHRbSBBC16sK1u1QSqniBGiwZfgki9VuzJIXlS6DuL8,Elias M.,"Oct 20, 2025","Fantastic! Sad, complex, gorgeous.",,,
https://www.rottentomatoes.com/profiles/YkZSGXh9qf2mSx1urluypu1jH66Ce9tzgiApi9VIKKCqviOPcKwf8LTvvCdyFrQIomFwMtzzC4YsQWFRdTkaImkszZh2VINytA6hdyH4AH1K,https://www.rottentomatoes.com/profiles/YkZSGXh9qf2mSx1urluypu1jH66Ce9tzgiApi9VIKKCqviOPcKwf8LTvvCdyFrQIomFwMtzzC4YsQWFRdTkaImkszZh2VINytA6hdyH4AH1K,William H.,"Oct 19, 2025",this is a rewatch but still a stunning and well-paced movie. i had to turn on cc for matthew mcconaughey though bc i could not catch what dude was saying half the time,,,
https://www.rottentomatoes.com/profiles/ZZdTnaugJCmghajfN6fXNI0gFDDC6xfDginqI8LURRCKJiWrsG4hz9IGGCABFX9SmnSJmheeCp4HJzugQIMmiBJhgkSn0INnHMVsaBtlnSj0,https://www.rottentomatoes.com/profiles/ZZdTnaugJCmghajfN6fXNI0gFDDC6xfDginqI8LURRCKJiWrsG4hz9IGGCABFX9SmnSJmheeCp4HJzugQIMmiBJhgkSn0INnHMVsaBtlnSj0,Uncle L.,"Oct 19, 2025","One of the best movies ever made, for some reason the rating is a 73? Why?",,,
https://www.rottentomatoes.com/profiles/2dZSnzIZ4Tnxf9vfe6hzauPVuxxCbVh60iLxTDOsAACnqi2vS8PHwkF44CPLIbeHYnFQXtNNCPxIzLu9nFq6tbnslDFO1un8u9LIZQCdbS0z,https://www.rottentomatoes.com/profiles/2dZSnzIZ4Tnxf9vfe6hzauPVuxxCbVh60iLxTDOsAACnqi2vS8PHwkF44CPLIbeHYnFQXtNNCPxIzLu9nFq6tbnslDFO1un8u9LIZQCdbS0z,Luke F.,"Oct 18, 2025","Absolutely brilliant, creative, stunning visuals. Great cast and story.",,,
https://www.rottentomatoes.com/profiles/0x1hmxfzncYbHvrupVs6mImAceeCXPukmSzafdQFyyCk4iwbFPnUjxh44ClaIzRuZAiRVuvvCJQskNTNoIZ4c1yfDycLjCzVHdBFADI1Ahge,https://www.rottentomatoes.com/profiles/0x1hmxfzncYbHvrupVs6mImAceeCXPukmSzafdQFyyCk4iwbFPnUjxh44ClaIzRuZAiRVuvvCJQskNTNoIZ4c1yfDycLjCzVHdBFADI1Ahge,Guilherme M,"Oct 17, 2025","Pure cinema. Interstellar is breath-taking, emotional, raw, combining realism with fiction, it is one, if not the best sci-i movie i have watched in my entire life. Interstellar is a genius cinema masterpiece, making you glued to the screen every second. Friendship, fatherhood, betrayal, love. If you’re a fan of space and science, or even movies in general, Interstellar is the best pick you can make. 2 hours and 40 minutes of pure cinema.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/WpltQdtDwIG9TLGUW4I8eIRwuGGCaQS1qIPgFZmFbbCexialswVImaIeeCzdIpoixbTpYi11CGmUlJhO9sWGiaQsJmtbGFy8fa2Iw4IZzco8,https://www.rottentomatoes.com/profiles/WpltQdtDwIG9TLGUW4I8eIRwuGGCaQS1qIPgFZmFbbCexialswVImaIeeCzdIpoixbTpYi11CGmUlJhO9sWGiaQsJmtbGFy8fa2Iw4IZzco8,Zac C,"Oct 17, 2025","I have never understood why such a good movie was given a 73% rotten tomatoes. This is one of the best movies I have ever seen, blending mind-boggling science that makes you think about the movie (if you have the will to do so) while blending love and persistence. I could not have asked for a better movie. Thank you so much Christopher Nolan.",,,
https://www.rottentomatoes.com/profiles/yrWTYysjKTK0Sz4f6GhQZTrXFjjCYdhwNF4QseVT66CjAiBoIZ2T2mCzzC6gT4LT1RhWrsxxCljI4rsvkhzkF2YuDXuazI1NSwquONs2nFaX,https://www.rottentomatoes.com/profiles/yrWTYysjKTK0Sz4f6GhQZTrXFjjCYdhwNF4QseVT66CjAiBoIZ2T2mCzzC6gT4LT1RhWrsxxCljI4rsvkhzkF2YuDXuazI1NSwquONs2nFaX,Rebal S,"Oct 14, 2025","You dare You dare say anything negative about the absolute best movie I have ever seen in my life and the best you will ever see The music, the scenes, the story The scene when he watches his children's messages after coming the edge of the Gargantua I watched the movie 3 times and j always cry in it And the docking scene💀 Man this is the absolute cenima experience This is the best movie I have ever watched in my life Better than inception Better than dark knight",SHOW MORE,,
https://www.rottentomatoes.com/profiles/JBkhYlsvZf49fVZTKQT4jInkcbbC0quYNCXzHAJsaaCwNiJPhrxcJZTmmCY0uo6HQrfVbu66CQZSBJTY1IWDhrduQYuVyH9bfaLHXrIMxugB,https://www.rottentomatoes.com/profiles/JBkhYlsvZf49fVZTKQT4jInkcbbC0quYNCXzHAJsaaCwNiJPhrxcJZTmmCY0uo6HQrfVbu66CQZSBJTY1IWDhrduQYuVyH9bfaLHXrIMxugB,Thameem A,"Oct 13, 2025",Even after a decade my love for this movie is unexplainable. Mind bending visuals and background score. Sentimental. Perfect casting. Nail biting scenes. Excellent screenplay. Best space related sci-fi movie of the decade. Watched a lot of times. Will watch too.,,,
