review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified
https://www.rottentomatoes.com/profiles/62gcWvhY4sgoTByS6NSLyCG4S99CvDijJiDYH9LhNNCqaipesZYh6AHnnCvauYAHQMtkKimmCk8hj1iwmt9OFrjHwquvpIgxTGnTKyFbnSez,https://www.rottentomatoes.com/profiles/62gcWvhY4sgoTByS6NSLyCG4S99CvDijJiDYH9LhNNCqaipesZYh6AHnnCvauYAHQMtkKimmCk8hj1iwmt9OFrjHwquvpIgxTGnTKyFbnSez,Isaac K.,"Oct 23, 2025",Loved the movie Great soundtrack,,,
https://www.rottentomatoes.com/profiles/NXKuD0CBqCmJTzeCZaHdMuqnsbbCAVudZsxptW6fRRCv9izwuzruAPHGGCRAI1dtlBijRs99CjqFjWflNCk0Fv2uKxuwxFw1S61fwDFBRhGb,https://www.rottentomatoes.com/profiles/NXKuD0CBqCmJTzeCZaHdMuqnsbbCAVudZsxptW6fRRCv9izwuzruAPHGGCRAI1dtlBijRs99CjqFjWflNCk0Fv2uKxuwxFw1S61fwDFBRhGb,Roger C,"Oct 10, 2025","In the 2025 era of societal division and massive wealth inequality the sense that an uprising of the poor and downtrodden against the super wealthy and privileged classes this 2019 movie is more relevant than when it was made! Superb acting, direction and soundtrack. Brilliant movie!",,,
https://www.rottentomatoes.com/profiles/wLMHkeCm0Ix0TqdFMeT0DUo0HVVCbNhKWF9pHMJI66CQoiP4HPxug0uBBCrBuLqTMkHqRt99C19hmbIDyfM6sZgs8jCkDTNDtbmfJvuaqubn,https://www.rottentomatoes.com/profiles/wLMHkeCm0Ix0TqdFMeT0DUo0HVVCbNhKWF9pHMJI66CQoiP4HPxug0uBBCrBuLqTMkHqRt99C19hmbIDyfM6sZgs8jCkDTNDtbmfJvuaqubn,Bonnie N,"Oct 2, 2025","Honestly, the worst Joker I've ever seen. Highly disappointed in this movie.",,,
https://www.rottentomatoes.com/profiles/XPvSYKFAvSBgi1QseoiRNTADiRRCpLSN2uBziy4h11CPYiZNHOecVPhooCnrILdFRPsl8tOOCA4fnRfl4sp1sbjIB4ikeumbHx8FO2SzXH8e,https://www.rottentomatoes.com/profiles/XPvSYKFAvSBgi1QseoiRNTADiRRCpLSN2uBziy4h11CPYiZNHOecVPhooCnrILdFRPsl8tOOCA4fnRfl4sp1sbjIB4ikeumbHx8FO2SzXH8e,hunter f,"Sep 28, 2025",Definitely a amazing movie,,,
https://www.rottentomatoes.com/profiles/M4LUo0IzBC1zsPOurOTO6CjOHXXCNxsGaIJbTA1SLLCVJiDaC6BhvWcQQCGWF2NCjGSRMsZZCVZCAQi8JFwWsa8sBdH1PsJyCmpuzxFjJHOj,https://www.rottentomatoes.com/profiles/M4LUo0IzBC1zsPOurOTO6CjOHXXCNxsGaIJbTA1SLLCVJiDaC6BhvWcQQCGWF2NCjGSRMsZZCVZCAQi8JFwWsa8sBdH1PsJyCmpuzxFjJHOj,Michari N.,"Sep 25, 2025",An amazing film taking place in a psychological setting rather than the superhero genre and Phoenix gives one of the best performances of his career.,,,
https://www.rottentomatoes.com/profiles/vqYcRyFWlH4BF9rhGki6vhZRuWWCjksvmSZlimwuppCY9ijOf4otXnFqqCAlurnHlkFzaIooCXxSr4FgGtG2iqdIxdFzjiP0HgJFeDsWdhvb,https://www.rottentomatoes.com/profiles/vqYcRyFWlH4BF9rhGki6vhZRuWWCjksvmSZlimwuppCY9ijOf4otXnFqqCAlurnHlkFzaIooCXxSr4FgGtG2iqdIxdFzjiP0HgJFeDsWdhvb,Brendan K,"Sep 22, 2025","It's by no means an easy watch but it's worth at least one viewing for the acting and cinematography alone. The themes are very relevant and well illustrated. The film can be deeply unnerving and I was on the edge of my seat for a large majority of it, but I highly reccomend it as long as you know it won't be rainbows and butterflies.",,,
https://www.rottentomatoes.com/profiles/DQxsB2hV2f2NsBQcz8fvdijqiLLCwVFymuROf0KhQQC8Oip1tgri1WS00CwdIQmfrzsVnuBBCjWtKjI18fXxuBPswpTgBILOfzGSX4I6RTL0,https://www.rottentomatoes.com/profiles/DQxsB2hV2f2NsBQcz8fvdijqiLLCwVFymuROf0KhQQC8Oip1tgri1WS00CwdIQmfrzsVnuBBCjWtKjI18fXxuBPswpTgBILOfzGSX4I6RTL0,Stactic K,"Sep 9, 2025",This movie made me question who is really the good guy. But in a good way.,,,
https://www.rottentomatoes.com/profiles/gyeHOpCZ0HPyTOPU8AsNMSGeiDDCemHzAixyHlAuMMCGPix9I69FdxcwwCnvuJ4CWDTLMsllCo0sVwcyVSRbHJRuYwIO8TAVibPHJ6cnmHBn,https://www.rottentomatoes.com/profiles/gyeHOpCZ0HPyTOPU8AsNMSGeiDDCemHzAixyHlAuMMCGPix9I69FdxcwwCnvuJ4CWDTLMsllCo0sVwcyVSRbHJRuYwIO8TAVibPHJ6cnmHBn,John S,"Sep 9, 2025",Every bit as dark as I heard it was. I think that's why it took me so long to sit down and watch it finally (in 2025). 'Sympathy for the Joker in a Luigi world. I get it. 'Makes me wonder/worry how much darker humanity is going to become.,,,
https://www.rottentomatoes.com/profiles/z6KH4mSReHjxs6qTmyIyzIDwTmmC4QIoNueNhBZIqqCzNi16I0JfJXHvvCamux0HYBtM0FAACQVSZghOquxDsPmfb1umaHbKFgMIP9fGgtmj,https://www.rottentomatoes.com/profiles/z6KH4mSReHjxs6qTmyIyzIDwTmmC4QIoNueNhBZIqqCzNi16I0JfJXHvvCamux0HYBtM0FAACQVSZghOquxDsPmfb1umaHbKFgMIP9fGgtmj,Jan S,"Sep 9, 2025",Zero complete rubbish cancelled the recent film after this torture. Would have left if wasn't so dark in the cinema,,,
https://www.rottentomatoes.com/profiles/apbf82tlWtKQT6BuJnFzLIPkT22CZztklCywiOnuppCjniWJul0u1as44CLeCpPhaQIGRFKKCv4Im2CbZFq4hn9iPBFRwuzDFWOtLxuyGuWy,https://www.rottentomatoes.com/profiles/apbf82tlWtKQT6BuJnFzLIPkT22CZztklCywiOnuppCjniWJul0u1as44CLeCpPhaQIGRFKKCv4Im2CbZFq4hn9iPBFRwuzDFWOtLxuyGuWy,Flynn S,"Sep 4, 2025","Wow, this is a very interesting and awesome film.The best scenes come from the second half and when they do there awesome.",,,
