review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified
https://www.rottentomatoes.com/profiles/80JSMBHWjINbiMXIe9Fr0cjXFeeCnLu9ZSqJsvztGGCokinkIzyCMRullCa2IgpunLuywIAACvyuaPFv9FwJuV4IR8sNDHPmt2yijYHzKCgD,https://www.rottentomatoes.com/profiles/80JSMBHWjINbiMXIe9Fr0cjXFeeCnLu9ZSqJsvztGGCokinkIzyCMRullCa2IgpunLuywIAACvyuaPFv9FwJuV4IR8sNDHPmt2yijYHzKCgD,Steve J,"Oct 21, 2025","About what I expected and there’s a reason I waited months before watching it. I’m not surprised at all the critics love it. Good acting and directing. But a little pretentious and self important. A pretty good story which is something the critical darlings don’t often have, so I can see why the audiences liked it. But long and slow. And a big shift in tone at the end. They wanted to wrap it up without just text so did a weird scene.",,,
https://www.rottentomatoes.com/profiles/4JzioaI6rCLqflLI2ZU9xSKRUPPCM6IgDuveFlYIyyC8oi8OtdpFqlSyyCGVFaPI9mSMRfOOCGkHaRudNFbPFOLHpjuG8F19cdDCBgfyWF1y,https://www.rottentomatoes.com/profiles/4JzioaI6rCLqflLI2ZU9xSKRUPPCM6IgDuveFlYIyyC8oi8OtdpFqlSyyCGVFaPI9mSMRfOOCGkHaRudNFbPFOLHpjuG8F19cdDCBgfyWF1y,Harry H.,"Oct 17, 2025","Had its ""moments"" but those moments weren't enough for over 3 1/2 hours that runtime really dragged the film down. It did nothing for me",,,
https://www.rottentomatoes.com/profiles/X6yFnecOLUReFvwIGMf8MhAKuRRCpVu6bfoeueQI11CPYiZoFxeIyBcooCnDubjcRNTlKIOOCmjSzQI0dipLH2qiB4iqrCmjuxrSOpfKRIlN,https://www.rottentomatoes.com/profiles/X6yFnecOLUReFvwIGMf8MhAKuRRCpVu6bfoeueQI11CPYiZoFxeIyBcooCnDubjcRNTlKIOOCmjSzQI0dipLH2qiB4iqrCmjuxrSOpfKRIlN,Rob A,"Oct 10, 2025",Great acting; long (3 hours) and sad (throughout history some people are just pathetic!) The ending was neat - good direction by Martin Scorsese.,,,
https://www.rottentomatoes.com/profiles/42osVbH6rCLmTXnF21tXxIKqCPPC16Iz9Iv2il0HyyC8oi8BCgMIq1syyCGwurzc9asmwCOOCGWIoDTKViLDiOBfpDFP2HbZfrBiBoSyOH1P,https://www.rottentomatoes.com/profiles/42osVbH6rCLmTXnF21tXxIKqCPPC16Iz9Iv2il0HyyC8oi8BCgMIq1syyCGwurzc9asmwCOOCGWIoDTKViLDiOBfpDFP2HbZfrBiBoSyOH1P,Jed I,"Oct 7, 2025","5.0/10 — ""Poor""/""Inferior""/""Amateurish""",,,
https://www.rottentomatoes.com/profiles/aZzh8vCyxhADHrPTJGuz0fPkT22C9GHPMHAgfgpIppCjnidzTleI1gh44CLKtpjFgJfbRCKKCgkcZ4HbPtq6Hn2TPJuLxF9aTrYSMpIyGuWZ,https://www.rottentomatoes.com/profiles/aZzh8vCyxhADHrPTJGuz0fPkT22C9GHPMHAgfgpIppCjnidzTleI1gh44CLKtpjFgJfbRCKKCgkcZ4HbPtq6Hn2TPJuLxF9aTrYSMpIyGuWZ,Alok J.,"Oct 2, 2025","Not your typical Scorsese film, but has an important story to tell. Gladstone is phenomenal.",,,
https://www.rottentomatoes.com/profiles/DG6FB2hV9IbauD8iz0sBAujqiLLCwkHyJFZbfRwFQQC8OipmIPbt4eh00CN0uQJTrDfR2sBBC1zIKjIVLFqWfBQSwriMmtLJszJIQPu6vH1P,https://www.rottentomatoes.com/profiles/DG6FB2hV9IbauD8iz0sBAujqiLLCwkHyJFZbfRwFQQC8OipmIPbt4eh00CN0uQJTrDfR2sBBC1zIKjIVLFqWfBQSwriMmtLJszJIQPu6vH1P,Carolina T.,"Oct 1, 2025",Good treatment of the true story. Excellent acting. Only better if the characters weren’t so plain.,,,
https://www.rottentomatoes.com/profiles/KKGsk0sQoCjbugeI84FqatkVf44CBJIzbc8NIzJsggCLMid4sxoI8mIwwCwoIDNub2tNytwwCZWFVqfemijVi8GtAefxgsOrcG2iBjsN6FzW,https://www.rottentomatoes.com/profiles/KKGsk0sQoCjbugeI84FqatkVf44CBJIzbc8NIzJsggCLMid4sxoI8mIwwCwoIDNub2tNytwwCZWFVqfemijVi8GtAefxgsOrcG2iBjsN6FzW,Ginger F,"Sep 28, 2025","This was an amazing book. The movie ruined the story. Which is too bad, because it’s a story that needs to be told.",,,
https://www.rottentomatoes.com/profiles/v6LiRviW2fpnH9JfWJSm4CZPCWWCjBHMyuKOTmNSppCY9iD8COlSXVuqqCy1IrBSlYfzjTooCyDFrWuz6Hn4Fq4u9BTMdIPnfgDTewFWBivw,https://www.rottentomatoes.com/profiles/v6LiRviW2fpnH9JfWJSm4CZPCWWCjBHMyuKOTmNSppCY9iD8COlSXVuqqCy1IrBSlYfzjTooCyDFrWuz6Hn4Fq4u9BTMdIPnfgDTewFWBivw,rex w,"Sep 24, 2025",This is one of Scorsese's worst. This movie has no business being 3 hours long. The performances were also overrated. The entire thing is forgetable.,,,
https://www.rottentomatoes.com/profiles/v6rFR4hWvF4Mu9oTGlTm4CA9IWWCjBHvVhZQFrguppCY9iD2U42CAnIqqCyLurAirvckOtooCXAHmKuzaiG4INAs9ZIz1uPphgVSewFWvTvo,https://www.rottentomatoes.com/profiles/v6rFR4hWvF4Mu9oTGlTm4CA9IWWCjBHvVhZQFrguppCY9iD2U42CAnIqqCyLurAirvckOtooCXAHmKuzaiG4INAs9ZIz1uPphgVSewFWvTvo,Perry A,"Sep 23, 2025",Definitely was a little slow. But overall it made me lookup this ugly event in history. Liked the movie would have been great to see on the big screen.,,,
https://www.rottentomatoes.com/profiles/1J2iWPIx1fp2SxPFmZc09t40TQQC2yFgoSJWH4yTNNC2xi2yczKFWpsvvCkaIagFjMS1yFzzCGvszgfnJTBYIGoIOAFbYhRJuRpIpguA2CjJ,https://www.rottentomatoes.com/profiles/1J2iWPIx1fp2SxPFmZc09t40TQQC2yFgoSJWH4yTNNC2xi2yczKFWpsvvCkaIagFjMS1yFzzCGvszgfnJTBYIGoIOAFbYhRJuRpIpguA2CjJ,Johannas B.,"Sep 17, 2025","Killers of the Flower Moon is currently the best film of the decade so far. One of Scorsese’s many masterpieces, the film shows true good and evil and the nuances between. The film has a powerhouse performance for Montana’s Lily Gladstone.",,,
