review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified,audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/kODIdphqPuJLS9qTGpTxATBvTDDCN6T18fpGcVpFrrCZqiWOuNAu9RSggCr4udbI1dtZbFPPCKOHvBsxWFAwsbPFZjuGBiYpsLoiKpCWPs89,https://www.rottentomatoes.com/profiles/kODIdphqPuJLS9qTGpTxATBvTDDCN6T18fpGcVpFrrCZqiWOuNAu9RSggCr4udbI1dtZbFPPCKOHvBsxWFAwsbPFZjuGBiYpsLoiKpCWPs89,Marit Risto F,"Oct 19, 2025","Rude Yankees using perverse robot technology, to dig into a sunken ship. Finding a nude drawing. Then comes an old woman, who survived the shipwreck. And it's her. Personally I would have left everything down there, and I also prefer men. So, it would have been extremely more interesting to see a nude drawing of Dicaprio. There's also this unbelievable class gap, that of course let the working class people drown. While there's still a chance for the capital owners to survive. The scene with Dicaprio tied up, and the water's rising, I feel is a cheap, suspence thing. I find it also a bit strange that the couple couldn't hold on to the raft together. All in all, it's not inspiring to me.",SHOW MORE,,,
https://www.rottentomatoes.com/profiles/pmRCMYFkPipXhDMulAFxZF0YtRRCZqTYvFXYsbdubbCWgi6yFpoiebiNNCMvuVKFrwsmPukkC2aFLpu2WT02I62FepuWXtzru1XiDGul8Swp,https://www.rottentomatoes.com/profiles/pmRCMYFkPipXhDMulAFxZF0YtRRCZqTYvFXYsbdubbCWgi6yFpoiebiNNCMvuVKFrwsmPukkC2aFLpu2WT02I62FepuWXtzru1XiDGul8Swp,Katie J,"Oct 16, 2025",I was inconsolable for days,,,,
https://www.rottentomatoes.com/profiles/gyWsayhZXIPXiORuGOTNJFG9fDDCRvSzMsxeTlAuMMCGPixzH6Mfd1IwwCnpIQ4TnKc9JfllCGXtVpCynFAxHJRuYMSObIAVibZTryFXvuBn,https://www.rottentomatoes.com/profiles/gyWsayhZXIPXiORuGOTNJFG9fDDCRvSzMsxeTlAuMMCGPixzH6Mfd1IwwCnpIQ4TnKc9JfllCGXtVpCynFAxHJRuYMSObIAVibZTryFXvuBn,Lily H,"Oct 4, 2025",I watch titanic at least once every year. It is a classic movie that is based on true events along with a whole love story with it. Absolute must see and makes me cry every time,,,,
https://www.rottentomatoes.com/profiles/OyBidbskeFjqubvujatBlFMWFkkC8xSd0IWgh06T22CNniz0s4LHPwIKKC9lsbJuemIRaIGGCkrfnmcm6tYouAyiozFWkIDzfmyfmpcjJfbp,https://www.rottentomatoes.com/profiles/OyBidbskeFjqubvujatBlFMWFkkC8xSd0IWgh06T22CNniz0s4LHPwIKKC9lsbJuemIRaIGGCkrfnmcm6tYouAyiozFWkIDzfmyfmpcjJfbp,Shaun R,"Sep 16, 2025",A love story that was essentially a one night stand. Entertaining enough and the crash/sinking of the ship was done well.,,,,
https://www.rottentomatoes.com/profiles/dQbTeXHlWILDszgFDzIklhV1UKKCmju1QujGfQLIeeC8yiAxHN0FoNhzzCOzF0eTNJhG0fooCOmtQrHk6ud9HNdFY0Iy0ulNIqZHobt2jSwp,https://www.rottentomatoes.com/profiles/dQbTeXHlWILDszgFDzIklhV1UKKCmju1QujGfQLIeeC8yiAxHN0FoNhzzCOzF0eTNJhG0fooCOmtQrHk6ud9HNdFY0Iy0ulNIqZHobt2jSwp,Marce S,"Sep 13, 2025","Rewatchable because of its greatnes when it comes to special effects, scenography and emotions. The fictive story is however quite silly with clumpsy references to real people such as Rose owning a picasso and the characters hanging out with all of the most prominent figures abord the ship.",,,,
https://www.rottentomatoes.com/profiles/GPps89uGqienFpWuwpurQcwZueeCQJsL0SVjijxSRRCzRiYGukwiwATllCxXurkCNrtZwFYYCdOcw8Sg2Ivxsj1I9WHxziZVSYxIBwSvMuYN,https://www.rottentomatoes.com/profiles/GPps89uGqienFpWuwpurQcwZueeCQJsL0SVjijxSRRCzRiYGukwiwATllCxXurkCNrtZwFYYCdOcw8Sg2Ivxsj1I9WHxziZVSYxIBwSvMuYN,Coc A,"Aug 31, 2025","9.5/10 The film's occasionally clunky dialogue draws some questionable looks, but that's the biggest problem I got. With that out of the way, I say this movie was James Cameron at his peak. With his deep passion and huge ambitions, he crafted a work so timeless, grand, and spellbinding that it still stood nearly 30 years later as a giant in the world of blockbuster filmmaking. It may not be perfect, but it's still a work of great excellence. It's something I don't see Hollywood making ever again.",SHOW MORE,,,
https://www.rottentomatoes.com/profiles/zWVsqVIYOizkF6KfJYIWKfDYImmC1aToaseOfB4SqqCzNi16I0oSJYsvvCk4ux9hNmfMQIAACQjsZxIKJIxduPjIbRIm6iWehg6uPBsL4hDq,https://www.rottentomatoes.com/profiles/zWVsqVIYOizkF6KfJYIWKfDYImmC1aToaseOfB4SqqCzNi16I0oSJYsvvCk4ux9hNmfMQIAACQjsZxIKJIxduPjIbRIm6iWehg6uPBsL4hDq,Athina A,"Aug 26, 2025",Unpopular opinion but I think this movie was excruciatingly boring to the point I couldn't finish it maybe its just cause I'm not the right audience,,,,
https://www.rottentomatoes.com/profiles/M4gSD0TKAHpATDWidOIOrtjLfXXCNBfG4FJlSylTLLCVJi96HMXsXaIQQCMjt2gcjbsR9SZZCMKiAGuOJClqta8sVgS1yclVIWphPwFjmsO0,https://www.rottentomatoes.com/profiles/M4gSD0TKAHpATDWidOIOrtjLfXXCNBfG4FJlSylTLLCVJi96HMXsXaIQQCMjt2gcjbsR9SZZCMKiAGuOJClqta8sVgS1yclVIWphPwFjmsO0,Hanna J,"Aug 23, 2025",To making it count. And this movie sure did.,,,,
https://www.rottentomatoes.com/profiles/PdBILViMZfWwTB9F9DFLoI8QTZZCOjuANfgoTJoIaaClKiJqIZPieaFBBClBuvLFgjuq2cqqCjNFYyIGeIv6TyjHYrFldhlWCrpTmDsGeFke,https://www.rottentomatoes.com/profiles/PdBILViMZfWwTB9F9DFLoI8QTZZCOjuANfgoTJoIaaClKiJqIZPieaFBBClBuvLFgjuq2cqqCjNFYyIGeIv6TyjHYrFldhlWCrpTmDsGeFke,Dennis F.,"Aug 22, 2025",One of the all time best movies ever made!,,,,
https://www.rottentomatoes.com/profiles/Qwvc61TmWh09CpKT6BiXGua0t66CbJf62FymFomHqqCRLiPNFQNHKlsppC84u0eF1dhovTDDCpAcxlh29FngCrQF8WtNJH4NSmJhveFoJIMR,https://www.rottentomatoes.com/profiles/Qwvc61TmWh09CpKT6BiXGua0t66CbJf62FymFomHqqCRLiPNFQNHKlsppC84u0eF1dhovTDDCpAcxlh29FngCrQF8WtNJH4NSmJhveFoJIMR,Thabani N,"Aug 22, 2025","Titanic is probably my all time favourite movie, I love-love and though tragic but this is one of the greatest love stories.",,,,
